(0.0,0.0),(183.0,0.0),(0.0,87.0),(183.0,87.0),rectangle
(0.0,0.0),(136.0,0.0),(0.0,136.0),(136.0,136.0),square
(0.0,0.0),(202.0,0.0),(0.0,202.0),(202.0,202.0),square
(0.0,0.0),(151.0,0.0),(0.0,99.0),(151.0,99.0),rectangle
(0.0,0.0),(96.0,0.0),(0.0,96.0),(96.0,96.0),square
(0.0,0.0),(88.0,0.0),(0.0,88.0),(88.0,88.0),square
(0.0,0.0),(225.0,0.0),(0.0,95.0),(225.0,95.0),rectangle
(0.0,0.0),(64.0,0.0),(0.0,64.0),(64.0,64.0),square
(0.0,0.0),(214.0,0.0),(0.0,214.0),(214.0,214.0),square
(0.0,0.0),(51.0,0.0),(0.0,45.0),(51.0,45.0),rectangle
(0.0,0.0),(87.0,0.0),(0.0,108.0),(87.0,108.0),rectangle
(0.0,0.0),(162.0,0.0),(0.0,162.0),(162.0,162.0),square
(0.0,0.0),(183.0,0.0),(0.0,100.0),(183.0,100.0),rectangle
(0.0,0.0),(249.0,0.0),(0.0,31.0),(249.0,31.0),rectangle
(0.0,0.0),(124.0,0.0),(0.0,124.0),(124.0,124.0),square
(0.0,0.0),(51.0,0.0),(0.0,107.0),(51.0,107.0),rectangle
(0.0,0.0),(114.0,0.0),(0.0,114.0),(114.0,114.0),square
(0.0,0.0),(230.0,0.0),(0.0,230.0),(230.0,230.0),square
