(0.0,0.0),(223.0,0.0),(0.0,68.0),(223.0,68.0),rectangle
(0.0,0.0),(131.0,0.0),(0.0,53.0),(131.0,53.0),rectangle
(0.0,0.0),(203.0,0.0),(0.0,74.0),(203.0,74.0),rectangle
(0.0,0.0),(127.0,0.0),(0.0,65.0),(127.0,65.0),rectangle
(0.0,0.0),(74.0,0.0),(0.0,74.0),(74.0,74.0),square
(0.0,0.0),(113.0,0.0),(0.0,59.0),(113.0,59.0),rectangle
(0.0,0.0),(126.0,0.0),(0.0,126.0),(126.0,126.0),square
(0.0,0.0),(240.0,0.0),(0.0,240.0),(240.0,240.0),square
(0.0,0.0),(91.0,0.0),(0.0,52.0),(91.0,52.0),rectangle
(0.0,0.0),(110.0,0.0),(0.0,110.0),(110.0,110.0),square
